topic_id,topic_top_10_words,total_count
2,eigentlich|lieben|frage|buch|geben|genau|brief|einfach|wort|schreiben,129
0,luft|stimme|drehen|fuß|haut|körper|schauen|licht|wand|wasser,77
8,einfach|telefon|schön|zimmer|bisschen|mädchen|tür|mutter|wohnung|sage,52
1,schule|eltern|herr|sterben|baum|tante|großmutter|kind|mutter|vater,37
9,brandung|fels|kind|apotheker|wasser|sand|meer|küste|strand|insel,12
3,dachboden|erde|galizien|deich|scheune|großmutter|sarg|hof|china|großvater,11
7,tier|augen|wald|holz|esche|sand|dinge|hund|pferd|wolf,6
4,sohn|scheune|balken|tenne|leiter|zwischenboden|alte|sprosse|junge|seil,4
5,brücke|angler|köder|fluß|schwester|zehner|urft|holländerin|salm|gaststätte,3
6,unvermittelt|divers|zumal|ihrerseits|schnee|nämlich|gelten|partnerin|achtung|fahrbahn,2
