toptopic_id,topic_top_10_words,total_count
0,schritt|körper|licht|fenster|schauen|wohnung|blick|zimmer|tür|wand,45
1,eltern|sterben|bett|essen|vater|schwester|tante|oma|kind|mutter,32
2,schlielich|wei|whrend|zurck|knnen|wre|wrde|htte|ber|fr,14
3,gedanke|scheinen|moment|sprechen|brief|schreiben|grund|frage|befinden|wort,76
4,sterben|schule|sohn|erzählen|wald|baum|hase|großmutter|mutter|vater,15
5,sohn|scheune|balken|tenne|leiter|alte|zwischenboden|sprosse|junge|seil,3
6,brücke|angler|köder|schwester|zehner|fluß|urft|holländerin|salm|gaststätte,3
7,phantasmas|divers|zumal|schnee|ihrerseits|nämlich|gelten|partnerin|achtung|fahrbahn,2
8,knäckebrot|alleine|augen|holz|esche|sand|hund|dinge|pferd|wolf,3
9,rufe|tür|mädchen|affe|beckmann|beobachter|feuerwehrmann|hauptkommissar|mirko|sage,16
10,freundin|wohnung|lieben|kind|erzählen|eigentlich|essen|schreiben|leute|einfach,54
11,gras|wald|strand|sand|fisch|meer|himmel|dorf|hund|wasser,52
12,erde|dachboden|galizien|scheune|großmutter|sarg|hof|hans|china|großvater,10
13,sass|herrn|schule|res|herr|liess|vater|weiss|bernhard|frank,3
14,horizont|karte|findling|kind|strand|vierunddreißig|meer|apotheker|küste|insel,5
