author_id,world_cat_results
0,29
1,1
2,22
3,1
4,171
5,1
6,11
7,5
8,7
9,25
10,25
11,1
12,54
13,64
14,22
15,111
16,0
17,17
18,1
19,155
20,25
21,9
22,110
23,0
24,3
25,22
26,6
27,15
28,20
29,178
30,148
31,86
32,3
33,109
34,17
35,37
36,31
37,53
38,3
39,8
40,41
41,19
42,22
43,21
44,24
45,4
46,172
47,11
48,594
49,3
50,142
51,5
52,24
53,11
54,7
55,1
56,1
57,22
58,10
59,63
60,1
61,1
62,0
63,70
64,35
65,20
66,1
67,0
68,8
69,20
70,1
71,117
72,9
73,234
74,82
75,2
76,9
77,8
78,1
79,75
80,78
81,19
82,100
83,64
84,136
85,0
86,30
87,1
88,74
89,0
90,4
91,0
92,2
93,60
94,12
95,0
96,112
97,24
98,2
99,4
100,106
101,11
102,9
103,16
104,14
105,45
106,0
107,20
108,5
109,41
110,2
111,25
112,10
113,29
114,48
115,0
116,10
117,83
118,11
119,1
120,8
121,0
122,0
123,17
124,9
125,32
126,138
127,0
128,24
129,19
130,6
131,11
132,4
133,130
134,14
135,0
136,1
137,5
138,6
139,0
140,0
141,15
142,1
143,71
144,98
145,1
146,26
147,4
148,4
149,346
150,33
151,3
152,10
153,1
154,1
155,8
156,12
157,24
158,25
159,100
160,66
161,38
162,39
163,0
164,0
165,1
166,27
167,71
168,6
169,90
170,130
171,309
172,101
173,0
174,225
175,11
176,5
177,21
178,0
179,18
180,5
181,126
182,26
183,2
184,90
185,2
186,52
187,41
188,58
189,57
190,12
191,46
192,50
193,0
194,4
195,2
196,28
197,3
198,12
199,33
200,7
201,0
202,0
203,6
204,33
205,0
206,13
207,1
208,25
209,2
210,57
211,2
212,4
213,17
214,1
215,0
216,0
217,6
218,34
219,0
220,7
221,4
222,1
223,49
224,7
225,0
226,847
227,1
228,1
229,5
230,0
231,22
232,0
233,0
234,17
235,18
236,303
237,1
238,5
239,5
240,0
241,11
242,23
243,4
244,97
245,8
246,41
247,165
248,1
249,126
250,6
251,4
252,0
253,13
254,19
255,6
256,2
257,36
258,5
259,9
260,25
261,6
262,56
263,136
264,0
265,18
266,32
267,0
268,16
269,1
270,8
271,65
272,1
273,19
274,15
275,93774
276,4
277,7
278,1
279,168
280,0
281,26
282,3
283,0
284,179
285,38
286,39
287,5
288,43
289,3
290,34
291,20
292,16
293,950
294,9
295,2
296,4
297,5
298,0
299,0
300,1
301,1
302,44
303,8
304,0
305,9
306,7
307,0
308,4
309,0
310,8
311,18
312,3
313,13779
314,0
315,16
316,175
317,1
318,7
319,2
320,3
321,1
322,15
323,82
324,215
325,0
326,0
327,2
328,84
329,12
330,4
331,16
332,20
333,10
334,26
335,29
336,7
337,15
338,4
339,15
340,26
341,35
342,3
343,2
344,2
345,0
346,43
347,2
348,85
349,3
350,116
351,10
352,49
353,1
354,83
355,2
356,24
357,0
358,40
359,13
360,24
361,40
362,10
363,41
364,5
365,6
366,6
367,0
368,55
369,1
370,21
371,68
372,91
373,50
374,4
375,3
376,11
377,40
378,0
379,0
380,4
381,13
382,0
383,1
384,0
385,0
386,5
387,106
388,2
389,115
390,44
391,48
392,11
393,6
394,45
395,0
396,27
397,4
398,10
399,19
400,35
401,13
402,1
403,2
404,1
405,1
406,227
407,12
408,3
409,0
410,2
411,0
412,3
413,26
414,4
415,76
416,96
417,178
418,4
419,100
420,8
421,4
422,4
423,0
424,0
425,18
426,9
427,60
428,7
429,14
430,6
431,53
432,5
433,7
434,10
435,21
436,0
437,3
438,33
439,2
440,0
441,58
442,34
443,11
444,3
445,6
446,54
447,2
448,0
449,1
450,55
451,6
452,35
453,5
454,131
455,24
456,2
457,4
458,79
459,9
460,9
461,46
462,1
463,4
464,5
465,31
466,52
467,56
468,0
469,1
470,5
471,1
472,72
473,4
474,339
475,0
476,1
477,7
478,59
479,3
480,648
481,17
482,3
483,51
484,4
485,1
486,83
487,984
488,4
489,5
490,16
491,0
492,82
493,58
494,5
495,8
496,0
497,3
498,5
499,13
500,2
501,0
502,1
503,8
504,63
505,12
506,89
507,0
508,3
509,0
510,0
511,23
512,10
513,9
514,3
515,15
516,0
517,30
518,122
519,0
520,1
521,6
522,61
523,8
524,2
525,3
526,3
527,4
528,15
529,2
530,8
531,21
532,54
533,4
534,38
535,21
536,0
537,26
538,0
539,4
540,152
541,96
542,4
543,10
544,1
545,578
546,10
547,171
548,128
549,3
550,2
551,2
552,137
553,0
554,77
555,12
556,59
557,49
558,19
559,4
560,8
561,2
562,18
563,7
564,7
565,3
566,1
567,1
568,19
569,2
570,18
571,11
572,14
573,79
574,23
575,16
576,1
577,278
578,13
579,11
580,15
581,4
582,4
583,2
584,24
585,2
586,7
587,16
588,37
589,3
590,107
591,3
592,83
593,45
594,1
595,0
596,4
597,5
598,16
599,1
600,5
601,4
602,10
603,0
604,20
605,3
606,25
607,24
608,0
609,0
610,7
611,30
612,8
613,29
614,62
615,0
616,1
617,2
618,5
619,1
620,35
621,3
622,0
623,75
624,12
625,0
626,7
627,1
628,2
629,2
630,3
631,1
632,2
633,0
634,13
635,5
636,0
637,101
638,5
639,6
640,0
641,24
642,158
643,5
644,6
645,1
646,3
647,0
648,2
649,0
650,1
651,8
652,2
653,3
654,10
655,2
656,3
657,0
658,0
659,0
660,0
661,3
662,1
663,2
664,12
665,4
666,28
667,2
668,7
669,6
670,6
671,1
672,1
673,2
674,28
675,1
676,1
677,5
678,1
679,2
680,28
681,3
682,2
683,1
684,3
685,4
686,0
687,1
688,4
689,6
690,5
691,4
692,5
693,11
694,960
695,1
696,4
697,0
698,3
699,30
700,3
701,0
702,2
703,0
704,5
705,0
706,2
707,3
708,127
709,9
710,5
711,1
712,1
713,12
714,0
715,1
716,1
717,18
718,1
719,2
720,4
721,3
722,5
723,2
724,192
725,0
726,0
727,1
728,0
729,0
730,6
731,2
732,10
733,3
734,1
735,1
736,29
737,77
738,3
739,0
740,2
741,43
742,1
743,3
744,0
745,35
746,1
747,0
748,0
749,0
750,1
751,4
752,1
753,0
754,1
755,0
756,2
757,36
758,0
759,1
760,5
761,1
762,7
763,1
764,2
765,1
766,3
767,0
